Purchase Forecast file
14.09.2019	92.19
15.09.2019	97.32
16.09.2019	83.92
17.09.2019	70.76
18.09.2019	77.66
19.09.2019	69.03
20.09.2019	74.95
21.09.2019	81.66
22.09.2019	107.96
23.09.2019	85.55
24.09.2019	66.10
25.09.2019	64.33
26.09.2019	70.83
27.09.2019	64.34
28.09.2019	86.13
29.09.2019	89.28
30.09.2019	72.80
01.10.2019	62.23
02.10.2019	55.49
03.10.2019	63.62
04.10.2019	62.83
05.10.2019	76.89
06.10.2019	95.19
07.10.2019	69.82
08.10.2019	63.34
09.10.2019	72.19
10.10.2019	80.66
11.10.2019	62.29
12.10.2019	69.20
13.10.2019	91.48
14.10.2019	70.59
15.10.2019	60.46
16.10.2019	55.60
17.10.2019	51.70
18.10.2019	73.91
19.10.2019	64.51
20.10.2019	91.89
21.10.2019	64.59
22.10.2019	77.56
23.10.2019	59.88
24.10.2019	70.64
25.10.2019	87.49
26.10.2019	82.10
27.10.2019	87.35
28.10.2019	87.80
29.10.2019	52.25
30.10.2019	62.58
31.10.2019	70.22
01.11.2019	74.44
02.11.2019	71.76
03.11.2019	55.79
04.11.2019	88.40
